example_id                                                       | status  | run_time        |
---------------------------------------------------------------- | ------- | --------------- |
./spec/actions/delete_custom_domain_record_spec.rb[1:1]          | passed  | 0.35646 seconds |
./spec/actions/delete_dns_entry_spec.rb[1:1:1]                   | passed  | 0.02825 seconds |
./spec/actions/initialize_visitor_device_spec.rb[1:1:1]          | passed  | 0.09902 seconds |
./spec/actions/initialize_visitor_device_spec.rb[1:2:1]          | passed  | 0.00266 seconds |
./spec/actions/parse_visitor_referrer_spec.rb[1:1]               | passed  | 0.0011 seconds  |
./spec/actions/parse_visitor_referrer_spec.rb[1:2:1]             | passed  | 0.00052 seconds |
./spec/api/v1/links_controller_spec.rb[1:1:1]                    | passed  | 0.04184 seconds |
./spec/api/v1/links_controller_spec.rb[1:1:2]                    | passed  | 0.01863 seconds |
./spec/api/v1/links_controller_spec.rb[1:2:1]                    | passed  | 0.02304 seconds |
./spec/components/help_button_component_spec.rb[1:1]             | pending | 0.00001 seconds |
./spec/components/stats_card_complete_component_spec.rb[1:1]     | pending | 0 seconds       |
./spec/components/trial_days_counter_component_spec.rb[1:1:1]    | passed  | 0.01282 seconds |
./spec/components/trial_days_counter_component_spec.rb[1:2:1]    | passed  | 0.0125 seconds  |
./spec/components/trial_days_counter_component_spec.rb[1:3]      | passed  | 0.01932 seconds |
./spec/organizers/delete_custom_domain_spec.rb[1:1]              | passed  | 0.01853 seconds |
./spec/organizers/redirect_link_spec.rb[1:1:1]                   | passed  | 0.04399 seconds |
./spec/organizers/redirect_link_spec.rb[1:1:2]                   | passed  | 0.02692 seconds |
./spec/organizers/redirect_link_spec.rb[1:2:1]                   | passed  | 0.02773 seconds |
./spec/organizers/redirect_link_spec.rb[1:2:2]                   | passed  | 0.02614 seconds |
./spec/services/associate_to_custom_domain_action_spec.rb[1:1:1] | passed  | 0.0125 seconds  |
./spec/services/associate_to_custom_domain_action_spec.rb[1:2:1] | passed  | 0.02138 seconds |
./spec/services/associate_to_custom_domain_action_spec.rb[1:3:1] | passed  | 0.02129 seconds |
./spec/services/create_link_spec.rb[1:1]                         | passed  | 0.0135 seconds  |
